ans	pred	prob
-1.0	-1.0	[ 0.92685973  0.07314027]
1.0	-1.0	[ 0.80980914  0.19019086]
-1.0	1.0	[ 0.48693214  0.51306786]
-1.0	-1.0	[ 0.68157868  0.31842132]
1.0	1.0	[ 0.45514357  0.54485643]
1.0	1.0	[ 0.19389728  0.80610272]
1.0	1.0	[ 0.49300527  0.50699473]
1.0	1.0	[ 0.43599829  0.56400171]
-1.0	-1.0	[ 0.51501856  0.48498144]
-1.0	-1.0	[ 0.77853896  0.22146104]
1.0	1.0	[ 0.48791947  0.51208053]
1.0	1.0	[ 0.05944062  0.94055938]
1.0	1.0	[ 0.07473444  0.92526556]
-1.0	-1.0	[ 0.69497797  0.30502203]
1.0	1.0	[ 0.31712116  0.68287884]
-1.0	-1.0	[ 0.64434576  0.35565424]
-1.0	-1.0	[ 0.86378067  0.13621933]
-1.0	-1.0	[ 0.922733  0.077267]
-1.0	-1.0	[ 0.53778211  0.46221789]
1.0	1.0	[ 0.10310595  0.89689405]
1.0	1.0	[ 0.17789093  0.82210907]
1.0	1.0	[ 0.3484815  0.6515185]
1.0	1.0	[ 0.05048052  0.94951948]
1.0	1.0	[ 0.06320691  0.93679309]
1.0	1.0	[ 0.18427966  0.81572034]
1.0	1.0	[ 0.34009327  0.65990673]
1.0	1.0	[ 0.18518684  0.81481316]
-1.0	-1.0	[ 0.53778211  0.46221789]
-1.0	-1.0	[ 0.96767005  0.03232995]
-1.0	1.0	[ 0.43634675  0.56365325]
1.0	-1.0	[ 0.53778211  0.46221789]
1.0	1.0	[ 0.38832753  0.61167247]
-1.0	-1.0	[ 0.86317583  0.13682417]
-1.0	-1.0	[ 0.98727269  0.01272731]
1.0	1.0	[ 0.43696455  0.56303545]
-1.0	-1.0	[ 0.93183967  0.06816033]
1.0	1.0	[ 0.41576159  0.58423841]
1.0	-1.0	[ 0.64874114  0.35125886]
1.0	1.0	[ 0.2006901  0.7993099]
1.0	1.0	[ 0.06375217  0.93624783]
1.0	1.0	[ 0.30316539  0.69683461]
-1.0	-1.0	[ 0.97431002  0.02568998]
-1.0	-1.0	[ 0.89381629  0.10618371]
-1.0	1.0	[ 0.42249647  0.57750353]
1.0	1.0	[ 0.2277249  0.7722751]
1.0	-1.0	[ 0.59238555  0.40761445]
-1.0	-1.0	[ 0.82379591  0.17620409]
-1.0	-1.0	[ 0.68345773  0.31654227]
1.0	1.0	[ 0.09965917  0.90034083]
-1.0	-1.0	[ 0.5216427  0.4783573]
-1.0	-1.0	[ 0.88499155  0.11500845]
-1.0	-1.0	[ 0.96354894  0.03645106]
-1.0	-1.0	[ 0.87856542  0.12143458]
-1.0	-1.0	[ 0.91273957  0.08726043]
-1.0	-1.0	[ 0.82787244  0.17212756]
1.0	1.0	[ 0.13241725  0.86758275]
1.0	-1.0	[ 0.66391696  0.33608304]
-1.0	-1.0	[ 0.95629434  0.04370566]
1.0	1.0	[ 0.30944003  0.69055997]
-1.0	-1.0	[ 0.96149249  0.03850751]
-1.0	-1.0	[ 0.9058071  0.0941929]
-1.0	1.0	[ 0.35680889  0.64319111]
-1.0	-1.0	[ 0.66340241  0.33659759]
-1.0	-1.0	[ 0.88210231  0.11789769]
-1.0	-1.0	[ 0.66898731  0.33101269]
1.0	1.0	[ 0.42261141  0.57738859]
1.0	1.0	[ 0.12189745  0.87810255]
-1.0	-1.0	[ 0.59333243  0.40666757]
-1.0	-1.0	[ 0.53778211  0.46221789]
1.0	1.0	[ 0.07905942  0.92094058]
1.0	1.0	[ 0.14143279  0.85856721]
-1.0	-1.0	[ 0.8832408  0.1167592]
1.0	1.0	[ 0.2565344  0.7434656]
-1.0	-1.0	[ 0.68533484  0.31466516]
-1.0	-1.0	[ 0.62016159  0.37983841]
1.0	1.0	[ 0.47008536  0.52991464]
-1.0	-1.0	[ 0.89648337  0.10351663]
-1.0	-1.0	[ 0.82359795  0.17640205]
-1.0	-1.0	[ 0.57950254  0.42049746]
1.0	1.0	[ 0.21784351  0.78215649]
1.0	-1.0	[ 0.6227706  0.3772294]
-1.0	1.0	[ 0.37627117  0.62372883]
-1.0	-1.0	[ 0.9152438  0.0847562]
1.0	1.0	[ 0.34463205  0.65536795]
1.0	1.0	[ 0.084606  0.915394]
-1.0	-1.0	[ 0.94719637  0.05280363]
1.0	-1.0	[ 0.51723902  0.48276098]
-1.0	-1.0	[ 0.67428411  0.32571589]
1.0	1.0	[ 0.21638878  0.78361122]
-1.0	-1.0	[ 0.54489976  0.45510024]
1.0	1.0	[ 0.25193206  0.74806794]
-1.0	1.0	[ 0.38271491  0.61728509]
1.0	1.0	[ 0.22177073  0.77822927]
-1.0	1.0	[ 0.29484257  0.70515743]
-1.0	-1.0	[ 0.54530118  0.45469882]
1.0	1.0	[ 0.11013793  0.88986207]
-1.0	1.0	[ 0.19491866  0.80508134]
1.0	1.0	[ 0.40920997  0.59079003]
1.0	-1.0	[ 0.59859404  0.40140596]
-1.0	1.0	[ 0.40740701  0.59259299]
1.0	1.0	[ 0.40163528  0.59836472]
1.0	1.0	[ 0.01438571  0.98561429]
1.0	1.0	[ 0.20579306  0.79420694]
-1.0	-1.0	[ 0.63884402  0.36115598]
1.0	1.0	[ 0.14827144  0.85172856]
-1.0	1.0	[ 0.43784323  0.56215677]
1.0	1.0	[ 0.48258958  0.51741042]
-1.0	1.0	[ 0.37618675  0.62381325]
-1.0	-1.0	[ 0.9743197  0.0256803]
-1.0	-1.0	[ 0.62384211  0.37615789]
-1.0	-1.0	[ 0.9374991  0.0625009]
-1.0	-1.0	[ 0.86995108  0.13004892]
-1.0	-1.0	[ 0.5945599  0.4054401]
1.0	1.0	[ 0.12990036  0.87009964]
1.0	1.0	[ 0.02816535  0.97183465]
1.0	1.0	[ 0.07193487  0.92806513]
-1.0	-1.0	[ 0.87087277  0.12912723]
1.0	-1.0	[ 0.82859957  0.17140043]
-1.0	-1.0	[ 0.52588476  0.47411524]
-1.0	-1.0	[ 0.51278165  0.48721835]
-1.0	1.0	[ 0.38528489  0.61471511]
1.0	1.0	[ 0.30332898  0.69667102]
-1.0	-1.0	[ 0.69203445  0.30796555]
-1.0	-1.0	[ 0.8447035  0.1552965]
1.0	1.0	[ 0.23181758  0.76818242]
-1.0	-1.0	[ 0.97986051  0.02013949]
1.0	1.0	[ 0.47770456  0.52229544]
1.0	1.0	[ 0.37283122  0.62716878]
-1.0	-1.0	[ 0.58970208  0.41029792]
-1.0	-1.0	[ 0.90324087  0.09675913]
1.0	1.0	[ 0.12559971  0.87440029]
1.0	-1.0	[ 0.56636823  0.43363177]
-1.0	-1.0	[ 0.71466891  0.28533109]
-1.0	-1.0	[ 0.68696745  0.31303255]
-1.0	1.0	[ 0.38129969  0.61870031]
-1.0	-1.0	[ 0.95661937  0.04338063]
1.0	1.0	[ 0.37374329  0.62625671]
-1.0	-1.0	[ 0.91548572  0.08451428]
-1.0	1.0	[ 0.21968811  0.78031189]
1.0	1.0	[ 0.00176609  0.99823391]
-1.0	1.0	[ 0.39178527  0.60821473]
-1.0	1.0	[ 0.33613798  0.66386202]
1.0	-1.0	[ 0.51711568  0.48288432]
1.0	1.0	[ 0.29398395  0.70601605]
-1.0	-1.0	[ 0.69018637  0.30981363]
1.0	-1.0	[ 0.67446629  0.32553371]
1.0	1.0	[ 0.36737907  0.63262093]
-1.0	-1.0	[ 0.99538279  0.00461721]
-1.0	1.0	[ 0.4142237  0.5857763]
-1.0	-1.0	[ 0.7897567  0.2102433]
1.0	1.0	[ 0.12188756  0.87811244]
-1.0	-1.0	[ 0.54235543  0.45764457]
-1.0	-1.0	[ 0.92652955  0.07347045]
-1.0	-1.0	[ 0.728435  0.271565]
1.0	1.0	[ 0.13262023  0.86737977]
-1.0	-1.0	[ 0.87859034  0.12140966]
1.0	1.0	[ 0.26079263  0.73920737]
1.0	-1.0	[ 0.53299622  0.46700378]
1.0	1.0	[ 0.25697395  0.74302605]
-1.0	-1.0	[ 0.53778211  0.46221789]
1.0	1.0	[ 0.11468592  0.88531408]
-1.0	-1.0	[ 0.93579706  0.06420294]
-1.0	1.0	[ 0.45772616  0.54227384]
1.0	1.0	[ 0.18536193  0.81463807]
1.0	1.0	[ 0.08041762  0.91958238]
1.0	1.0	[ 0.1782463  0.8217537]
-1.0	-1.0	[ 0.67659495  0.32340505]
-1.0	-1.0	[ 0.85524121  0.14475879]
1.0	1.0	[ 0.2582805  0.7417195]
-1.0	-1.0	[ 0.97357533  0.02642467]
-1.0	-1.0	[ 0.89535306  0.10464694]
-1.0	-1.0	[ 0.97364793  0.02635207]
-1.0	-1.0	[ 0.92850718  0.07149282]
1.0	1.0	[ 0.41080594  0.58919406]
1.0	1.0	[ 0.1294523  0.8705477]
-1.0	-1.0	[ 0.85562816  0.14437184]
-1.0	-1.0	[ 0.63900718  0.36099282]
-1.0	-1.0	[ 0.53778211  0.46221789]
1.0	1.0	[ 0.40529354  0.59470646]
1.0	1.0	[ 0.05383874  0.94616126]
1.0	1.0	[ 0.03170099  0.96829901]
-1.0	-1.0	[ 0.70741259  0.29258741]
-1.0	1.0	[ 0.46556611  0.53443389]
1.0	1.0	[ 0.46778659  0.53221341]
-1.0	-1.0	[ 0.66173815  0.33826185]
1.0	1.0	[ 0.37040156  0.62959844]
1.0	1.0	[ 0.42337334  0.57662666]
-1.0	-1.0	[ 0.67259925  0.32740075]
-1.0	-1.0	[ 0.70834976  0.29165024]
1.0	-1.0	[ 0.56456907  0.43543093]
1.0	1.0	[ 0.44051394  0.55948606]
1.0	1.0	[ 0.23550042  0.76449958]
1.0	1.0	[ 0.0162263  0.9837737]
1.0	1.0	[ 0.02306223  0.97693777]
1.0	-1.0	[ 0.77518237  0.22481763]
-1.0	1.0	[ 0.36110015  0.63889985]
1.0	-1.0	[ 0.54696794  0.45303206]
1.0	1.0	[ 0.34542783  0.65457217]
1.0	1.0	[ 0.05608711  0.94391289]
1.0	1.0	[ 0.15802602  0.84197398]
1.0	1.0	[ 0.0505786  0.9494214]
1.0	1.0	[ 0.06692333  0.93307667]
-1.0	-1.0	[ 0.6419643  0.3580357]
-1.0	-1.0	[ 0.65147693  0.34852307]
-1.0	-1.0	[ 0.61637718  0.38362282]
1.0	-1.0	[ 0.54003601  0.45996399]
-1.0	1.0	[ 0.42663093  0.57336907]
1.0	1.0	[ 0.11758409  0.88241591]
1.0	1.0	[ 0.3216194  0.6783806]
-1.0	-1.0	[ 0.51481107  0.48518893]
1.0	1.0	[ 0.00490442  0.99509558]
-1.0	-1.0	[ 0.72977243  0.27022757]
1.0	1.0	[ 0.12381563  0.87618437]
-1.0	-1.0	[ 0.58771178  0.41228822]
-1.0	-1.0	[ 0.98681809  0.01318191]
1.0	1.0	[ 0.21084156  0.78915844]
1.0	1.0	[ 0.11793135  0.88206865]
-1.0	-1.0	[ 0.84632432  0.15367568]
1.0	1.0	[ 0.39642484  0.60357516]
1.0	1.0	[ 0.26711321  0.73288679]
-1.0	-1.0	[ 0.53778211  0.46221789]
1.0	1.0	[ 0.04426784  0.95573216]
1.0	1.0	[ 0.21208618  0.78791382]
-1.0	-1.0	[ 0.62874683  0.37125317]
-1.0	1.0	[ 0.48717553  0.51282447]
1.0	1.0	[ 0.29112858  0.70887142]
-1.0	-1.0	[ 0.88232192  0.11767808]
-1.0	-1.0	[ 0.87436282  0.12563718]
-1.0	-1.0	[ 0.65402288  0.34597712]
1.0	1.0	[ 0.14039549  0.85960451]
-1.0	-1.0	[ 0.53778211  0.46221789]
1.0	1.0	[ 0.23900611  0.76099389]
-1.0	-1.0	[ 0.92743201  0.07256799]
-1.0	1.0	[ 0.26324315  0.73675685]
-1.0	-1.0	[ 0.65337838  0.34662162]
1.0	1.0	[ 0.05394816  0.94605184]
1.0	1.0	[ 0.20718524  0.79281476]
1.0	1.0	[ 0.40843358  0.59156642]
1.0	1.0	[ 0.2517497  0.7482503]
-1.0	-1.0	[ 0.87634895  0.12365105]
1.0	-1.0	[ 0.85800664  0.14199336]
-1.0	1.0	[ 0.41709206  0.58290794]
-1.0	-1.0	[ 0.89594909  0.10405091]
-1.0	-1.0	[ 0.69661997  0.30338003]
1.0	-1.0	[ 0.71068587  0.28931413]
1.0	1.0	[ 0.39293239  0.60706761]
1.0	1.0	[ 0.24628305  0.75371695]
-1.0	-1.0	[ 0.98202061  0.01797939]
-1.0	-1.0	[ 0.64225442  0.35774558]
1.0	1.0	[ 0.49088979  0.50911021]
-1.0	1.0	[ 0.36578933  0.63421067]
1.0	1.0	[ 0.24090514  0.75909486]
1.0	-1.0	[ 0.53778211  0.46221789]
1.0	1.0	[ 0.4329492  0.5670508]
1.0	-1.0	[ 0.59215095  0.40784905]
1.0	1.0	[ 0.45445553  0.54554447]
1.0	1.0	[ 0.16629877  0.83370123]
-1.0	-1.0	[ 0.90126695  0.09873305]
1.0	1.0	[ 0.106871  0.893129]
-1.0	-1.0	[ 0.52133859  0.47866141]
-1.0	-1.0	[ 0.71332459  0.28667541]
1.0	-1.0	[ 0.50981495  0.49018505]
-1.0	-1.0	[ 0.80787956  0.19212044]
1.0	1.0	[ 0.44341762  0.55658238]
-1.0	-1.0	[ 0.9088845  0.0911155]
1.0	1.0	[ 0.46871931  0.53128069]
1.0	1.0	[ 0.35380706  0.64619294]
1.0	1.0	[ 0.25594075  0.74405925]
-1.0	-1.0	[ 0.53778211  0.46221789]
1.0	1.0	[ 0.1652085  0.8347915]
-1.0	-1.0	[ 0.56780618  0.43219382]
-1.0	-1.0	[ 0.83257514  0.16742486]
1.0	1.0	[ 0.45478954  0.54521046]
-1.0	-1.0	[ 0.79098215  0.20901785]
1.0	1.0	[ 0.32105208  0.67894792]
-1.0	-1.0	[ 0.72346951  0.27653049]
1.0	1.0	[ 0.06192473  0.93807527]
-1.0	1.0	[ 0.33871352  0.66128648]
-1.0	-1.0	[ 0.92113069  0.07886931]
-1.0	-1.0	[ 0.68034204  0.31965796]
1.0	1.0	[ 0.05062303  0.94937697]
-1.0	-1.0	[ 0.86634752  0.13365248]
1.0	1.0	[ 0.20170481  0.79829519]
-1.0	-1.0	[ 0.93297296  0.06702704]
1.0	1.0	[ 0.45926652  0.54073348]
1.0	-1.0	[ 0.66805849  0.33194151]
-1.0	-1.0	[ 0.53495451  0.46504549]
1.0	1.0	[ 0.39145363  0.60854637]
1.0	1.0	[ 0.05058472  0.94941528]
1.0	1.0	[ 0.11695118  0.88304882]
1.0	1.0	[ 0.33863797  0.66136203]
-1.0	-1.0	[ 0.80258064  0.19741936]
1.0	-1.0	[ 0.50003185  0.49996815]
-1.0	-1.0	[ 0.75308102  0.24691898]
-1.0	1.0	[ 0.44350371  0.55649629]
-1.0	-1.0	[ 0.85288936  0.14711064]
1.0	1.0	[ 0.05226778  0.94773222]
-1.0	-1.0	[ 0.78630109  0.21369891]
-1.0	-1.0	[ 0.91360985  0.08639015]
-1.0	-1.0	[ 0.69549631  0.30450369]
1.0	1.0	[ 0.09799777  0.90200223]
1.0	-1.0	[ 0.52272673  0.47727327]
-1.0	-1.0	[ 0.9331933  0.0668067]
-1.0	-1.0	[ 0.83255856  0.16744144]
-1.0	-1.0	[ 0.58130041  0.41869959]
1.0	1.0	[ 0.19992839  0.80007161]
-1.0	-1.0	[ 0.7349345  0.2650655]
1.0	-1.0	[ 0.65256796  0.34743204]
1.0	1.0	[ 0.0587211  0.9412789]
-1.0	1.0	[ 0.36065645  0.63934355]
1.0	1.0	[ 0.06096429  0.93903571]
-1.0	-1.0	[ 0.8615608  0.1384392]
1.0	1.0	[ 0.35324361  0.64675639]
1.0	-1.0	[ 0.56137066  0.43862934]
-1.0	-1.0	[ 0.77621008  0.22378992]
-1.0	-1.0	[ 0.72493963  0.27506037]
1.0	1.0	[ 0.05185386  0.94814614]
-1.0	-1.0	[ 0.52660921  0.47339079]
1.0	-1.0	[ 0.7758776  0.2241224]
-1.0	1.0	[ 0.46163077  0.53836923]
1.0	-1.0	[ 0.65216922  0.34783078]
1.0	1.0	[ 0.07778477  0.92221523]
-1.0	-1.0	[ 0.76831877  0.23168123]
-1.0	-1.0	[ 0.89158075  0.10841925]
-1.0	-1.0	[ 0.82887459  0.17112541]
-1.0	-1.0	[ 0.64233392  0.35766608]
-1.0	-1.0	[ 0.65203714  0.34796286]
1.0	1.0	[ 0.07311935  0.92688065]
-1.0	-1.0	[ 0.95212802  0.04787198]
1.0	-1.0	[ 0.63153667  0.36846333]
-1.0	-1.0	[ 0.53778211  0.46221789]
-1.0	-1.0	[ 0.54307675  0.45692325]
1.0	1.0	[ 0.29387179  0.70612821]
-1.0	-1.0	[ 0.67354909  0.32645091]
1.0	1.0	[ 0.30543183  0.69456817]
1.0	1.0	[ 0.23994632  0.76005368]
-1.0	-1.0	[ 0.75999797  0.24000203]
1.0	1.0	[ 0.36029755  0.63970245]
1.0	-1.0	[ 0.50023493  0.49976507]
-1.0	-1.0	[ 0.86842131  0.13157869]
1.0	1.0	[ 0.01581766  0.98418234]
1.0	1.0	[ 0.06270757  0.93729243]
-1.0	1.0	[ 0.48598226  0.51401774]
1.0	1.0	[ 0.15981052  0.84018948]
-1.0	-1.0	[ 0.53778211  0.46221789]
-1.0	1.0	[ 0.4619838  0.5380162]
1.0	-1.0	[ 0.61668551  0.38331449]
1.0	1.0	[ 0.03470649  0.96529351]
1.0	1.0	[ 0.182939  0.817061]
1.0	1.0	[ 0.2875105  0.7124895]
1.0	1.0	[ 0.05771041  0.94228959]
1.0	1.0	[ 0.3197971  0.6802029]
1.0	1.0	[ 0.05153007  0.94846993]
1.0	1.0	[ 0.37587251  0.62412749]
-1.0	-1.0	[ 0.61799769  0.38200231]
1.0	1.0	[ 0.26523181  0.73476819]
1.0	-1.0	[ 0.63698209  0.36301791]
1.0	1.0	[ 0.47007448  0.52992552]
-1.0	-1.0	[ 0.99118598  0.00881402]
-1.0	-1.0	[ 0.9889037  0.0110963]
-1.0	-1.0	[ 0.78928452  0.21071548]
-1.0	-1.0	[ 0.94837911  0.05162089]
-1.0	-1.0	[ 0.55022005  0.44977995]
-1.0	-1.0	[ 0.94674611  0.05325389]
1.0	1.0	[ 0.27967399  0.72032601]
1.0	1.0	[ 0.11215392  0.88784608]
-1.0	-1.0	[ 0.97186427  0.02813573]
1.0	1.0	[ 0.04441348  0.95558652]
-1.0	-1.0	[ 0.97852257  0.02147743]
1.0	-1.0	[ 0.61966289  0.38033711]
1.0	1.0	[ 0.33134484  0.66865516]
-1.0	-1.0	[ 0.53778211  0.46221789]
-1.0	1.0	[ 0.49122262  0.50877738]
-1.0	-1.0	[ 0.88282831  0.11717169]
1.0	1.0	[ 0.43285966  0.56714034]
1.0	1.0	[ 0.01575262  0.98424738]
1.0	1.0	[ 0.25689432  0.74310568]
-1.0	-1.0	[ 0.65667912  0.34332088]
1.0	-1.0	[ 0.54841344  0.45158656]
-1.0	-1.0	[ 0.57643335  0.42356665]
1.0	1.0	[ 0.00245715  0.99754285]
1.0	1.0	[ 0.22827655  0.77172345]
1.0	1.0	[ 0.05647194  0.94352806]
-1.0	-1.0	[ 0.94907884  0.05092116]
1.0	1.0	[ 0.01968887  0.98031113]
1.0	1.0	[ 0.0233734  0.9766266]
-1.0	-1.0	[ 0.63039172  0.36960828]
1.0	1.0	[ 0.09594798  0.90405202]
-1.0	-1.0	[ 0.9562461  0.0437539]
-1.0	-1.0	[ 0.97887494  0.02112506]
1.0	-1.0	[ 0.52149957  0.47850043]
-1.0	-1.0	[ 0.98823166  0.01176834]
-1.0	1.0	[ 0.2770948  0.7229052]
-1.0	-1.0	[ 0.85908204  0.14091796]
-1.0	-1.0	[ 0.95813953  0.04186047]
1.0	-1.0	[ 0.77761782  0.22238218]
-1.0	-1.0	[ 0.84837553  0.15162447]
-1.0	1.0	[ 0.3956108  0.6043892]
1.0	1.0	[ 0.18737498  0.81262502]
-1.0	-1.0	[ 0.9033329  0.0966671]
-1.0	-1.0	[ 0.82462435  0.17537565]
-1.0	-1.0	[ 0.54172136  0.45827864]
-1.0	-1.0	[ 0.55281242  0.44718758]
1.0	1.0	[ 0.34119099  0.65880901]
1.0	1.0	[ 0.07868021  0.92131979]
-1.0	1.0	[ 0.28659955  0.71340045]
-1.0	-1.0	[ 0.79893672  0.20106328]
-1.0	-1.0	[ 0.6463197  0.3536803]
-1.0	1.0	[ 0.44764825  0.55235175]
1.0	1.0	[ 0.01067519  0.98932481]
-1.0	-1.0	[ 0.8539328  0.1460672]
-1.0	-1.0	[ 0.83703879  0.16296121]
-1.0	1.0	[ 0.42071799  0.57928201]
-1.0	-1.0	[ 0.92431497  0.07568503]
-1.0	1.0	[ 0.45719693  0.54280307]
1.0	-1.0	[ 0.68174216  0.31825784]
1.0	1.0	[ 0.38485076  0.61514924]
1.0	1.0	[ 0.17272437  0.82727563]
1.0	1.0	[ 0.08248542  0.91751458]
-1.0	-1.0	[ 0.53778211  0.46221789]
